X,Y,OBJECTID,NAME,ADDRESS,PHONE,WEBSITE,GRADE,CITY,ZIP
-122.3136839,47.66567842,1,Academy for Precision Learning ,5031 University Way NE,206.427.0115,www.aplschool.org,K-12,Seattle,98105-4341
-122.36049,47.63856907,2,Alcuin School,216 W Boston,206.286.0771,www.alcuinschool.com,P-1,Seattle,98119-2641
-122.2696511,47.52702836,3,Alfajer School,8430 Rainier Ave S,206.747.9036,N/A,K-12,Seattle,98118-4655
-122.2597566,47.51087089,4,Amazing Grace Christian School,10056 Renton Ave S,206.723.5526,www.agcschool.org,K-2,Seattle,98178-2255
-122.292839,47.67485324,5,Assumption St. Bridget School,6220 32nd Ave NE,206.524.7452,www.asbschool.org,P-8,Seattle,98115-7233
-122.3203487,47.63931582,6,Bertschi School,2227 10th Ave E,206.324.5476,www.bertschi.org,P-5,Seattle,98102-4177
-122.3251234,47.68085753,7,Billings Middle School,7217 Woodlawn Ave NE,206.547.4614,www.billingsmiddleschool.org,8-Jun,Seattle,98115-5335
-122.3355259,47.68891058,8,Bishop Blanchet High School,8200 Wallingford Ave N,206.527.7701,www.bishopblanchet.org,12-Sep,Seattle,98103-4599
-122.3207222,47.6323876,9,Bright Water Waldorf School,1501 Tenth Ave E  Suite 100,206.624.6176,www.brightwaterwaldorf.org,P-8,Seattle,98102-4256
-122.3248657,47.70062974,10,Brightmont Academy--Seattle Campus,9750 3rd AVE NE,206.284.2300,www.brightmontacademy.com ,12-Jun,Seattle,98115-2022
-122.3534999,47.71387448,11,Christ the King School,415 N 117th St,206.859.5111,www.ckseattle.org,P-8,Seattle,98133-8309
-122.2890475,47.68072947,12,Concordia Lutheran School,7040 36th Ave NE,206.525.7407,www.concordiaseattle.com,P-8,Seattle,98115-5966
-122.3172223,47.69916558,13,Dartmoor School--Seattle,9618 Roosevelt Way NE,425.885.1123,www.dartmoorschool.org,12-Jan,Seattle,98115-2236
-122.268031,47.54309853,14,Derech Emunah dba Seattle Jewish Girls High Schl,5142 S Holly St,206.790.1475,www.derechemunah.com,12-Sep,Seattle,98118
-122.3467103,47.61878611,15,Emerald City School,520 Denny Way ,206.209.0950,www.emeraldcityschool.com,12-Mar,Seattle,98109-5003
-122.2867573,47.61806725,16,Epiphany School,3611 E Denny Way,206.323.9011,www.epiphanyschool.org,P-5,Seattle,98122-3423
-122.3693296,47.51320165,17,Explorer West Middle School,10015 28th Ave SW,206.935.0495,www.explorerwest.org,8-Jun,Seattle,98146-3708
-122.318494,47.68566025,18,Fairview Christian School,844 NE 78th St,206.526.0762,www.fcsseattle.org,P-8,Seattle,98115-4202
-122.3252887,47.63245418,19,Fusion Academy Seattle,214 E Galer St,616.301.1221,fusionacademy.com,12-Jun,Seattle,98102-3716
-122.306012,47.59691926,20,Giddens School,620 20th Ave S,206.324.4847,www.giddensschool.org,P-5,Seattle,98144-2209
-122.3064962,47.58830564,21,Hamlin Robinson School,1701 20th Ave S,206.763.1167,www.hamlinrobinson.org,8-Jan,Seattle,98144-4411
-122.359464,47.51697571,22,Holy Family Bilingual Catholic School,9615 20th Ave SW,206.767.6640,www.hfseattle.org/school,P-8,Seattle,98106-2786
