X,Y,OBJECTID,TYPE,SCHOOL,ADDRESS,SE_ANNO_CAD_DATA,NAME,GRADE,CITY,ZIP,PHONE,WEBSITE,XCOORD,YCOORD,SITE_USE,PRJ_ENRLLMNT
-122.295913,47.53809083,1,Service School,VAN ASSELT ELEM,7201 Beacon Ave. S,,Early Learning Center,PK,Seattle,98108,(206) 252-7500,https://www.seattleschools.org/cms/one.aspx?pageId=27768105,1279167.86,199712.3901,Active,
-122.3532652,47.63202275,2,NonStandard,QUEEN ANNE GYM,1431 2nd Ave N,,Queen Anne Gym,12-Sep,Seattle,98109,,,1265680.674,234243.2912,Active,
-122.3915196,47.67363214,3,Elementary,ADAMS ELEM,6110 28th Ave. NW,,Adams,K-5,Seattle,98107,(206) 252-1300,http://adamses.seattleschools.org/,1256557.7,249606.4799,Active,
-122.2819804,47.54632186,4,Middle School,AKI KUROSE,3928 S Graham St.,,Aki Kurose,8-Jun,Seattle,98118,(206) 252-7700,http://kurosems.seattleschools.org/,1282665.25,202649.1601,Active,
-122.4078272,47.57714172,5,Elementary,ALKI ELEM,3010 59th Ave. SW,,Alki,K-5,Seattle,98116,(206) 252-9050,http://alkies.seattleschools.org/,1251820.84,214499.2499,Active,
-122.3775878,47.50970036,6,Elementary,ARBOR HEIGHTS,3701 SW 104th St.,,Arbor Heights,K-5,Seattle,98146,(206) 252-9250,http://arborheightses.seattleschools.org/,1258789.5,189752.7299,Active,
-122.3491237,47.65463546,7,Elementary,B F DAY ELEM,3921 Linden Ave. N,,B.F. Day,K-5,Seattle,98103,(206) 252-6010,http://dayes.seattleschools.org/,1266864.07,242469.8899,Active,
-122.3154847,47.60120053,8,Elementary,GATZERT ELEM,1301 E Yesler Way,,Bailey Gatzert,K-5,Seattle,98122,(206) 252-2810,http://gatzertes.seattleschools.org/,1274777.69,222820.8199,Active,
-122.3748887,47.67661077,9,High School,BALLARD HIGH SCHOOL,1418 NW 65th St.,,Ballard,12-Sep,Seattle,98117,(206) 252-1000,http://ballardhs.seattleschools.org/,1260675.94,250610.2499,Active,
-122.3151049,47.5854692,10,Elementary,BEACON HILL ELEM,2025 14th Ave. S,,Beacon Hill Int'l,K-5,Seattle,98144,(206) 252-2700,http://beaconhilles.seattleschools.org/,1274760.9,217081.8399,Active,
-122.3621409,47.54861953,11,Option Elementary,BOREN BLDG,5950 Delridge Way SW,,Louisa Boren STEM,K-8,Seattle,98106,(206)252-8450,http://borenstemk8.seattleschools.org/,1262888.34,203870.0599,Active,
-122.3531487,47.72463111,12,Elementary,BROADVIEW-THOMSON,13052 Greenwood Ave. N,,Broadview-Thomson K-8,K-8,Seattle,98133,(206) 252-4080,http://broadviewk8.seattleschools.org/,1266376.49,268016.5199,Active,
-122.2922055,47.67184194,13,Elementary,BRYANT ELEM,3311 NE 60th St.,,Bryant,K-5,Seattle,98115,(206) 252-5200,http://bryantes.seattleschools.org/,1281008.3,248473.9999,Active,
-122.3586192,47.64627506,14,Service School,NORTHWEST CENTER,2919 1st Ave. W,,Cascade PPP,K-12,Seattle,98119,(206) 743-3900,http://cppp.seattleschools.org/,1264463.87,239467.14,Active,
-122.3992624,47.64225736,15,Elementary,CATHARINE BLAINE,2550 34th Ave. W,,Catharine Blaine K-8,K-8,Seattle,98199,(206) 252-1920,http://blainek8.seattleschools.org/,1254417.66,238203.1198,Active,
-122.2874667,47.72605779,16,Option Elementary,CEDAR PARK BLDG,3737 NE 135th St,,Cedar Park,K-5,Seattle,98125,(206) 252-0000,http://cedarparkes.seattleschools.org/,1282531.868,268135.8759,Active,
-122.3661548,47.52863205,17,High School,SEALTH HIGH SCHOOL,2600 SW Thistle St.,,Chief Sealth Int'l,12-Sep,Seattle,98126,(206) 252-8550,http://chiefsealthhs.seattleschools.org/,1261752.07,196600.4901,Active,
-122.3139119,47.55237206,18,Option High School,CLEVELAND HIGH SCHOOL,5511 15th Ave. S,,Cleveland STEM,12-Sep,Seattle,98108,(206) 252-7800,http://clevelandhs.seattleschools.org/,1274823,205005.7299,Active,
-122.3655991,47.64051599,19,Elementary,COE ELEM,2424 7th Ave. W,,Coe,K-5,Seattle,98119,(206) 252-2000,http://coees.seattleschools.org/,1262701.86,237401.0201,Active,
-122.3246906,47.5236109,20,Elementary,CONCORD ELEM,723 S Concord St.,,Concord Int'l,K-5,Seattle,98108,(206) 252-8100,http://concordes.seattleschools.org/,1271958.5,194568.03,Active,
-122.296287,47.55226236,21,Elementary,DEARBORN PARK ELEM,2820 S Orcas St.,,Dearborn Park Int'l,K-5,Seattle,98108,(206) 252-6930,http://dearbornes.seattleschools.org/,1279173.77,204882.49,Active,
-122.2826617,47.68502545,22,Elementary,DECATUR BLDG/DS-2,7711 43rd Ave. NE,,Decatur,5-Jan,Seattle,98115,(206) 252-3230,https://decatures.seattleschools.org/,1283449.8,253237.617,Active,
-122.3660415,47.53165396,23,Middle School,DENNY MIDDLE SCHOOL,2601 SW Kenyon St.,,Denny Int'l,8-Jun,Seattle,98126,(206) 252-9000,http://dennyms.seattleschools.org/,1261802,197702.0001,Active,
-122.2746557,47.52498919,24,Elementary,DUNLAP ELEM,4525 S Cloverdale St.,,Dunlap,K-5,Seattle,98118,(206) 252-7000,http://dunlapes.seattleschools.org/,1284328.19,194835.1502,Active,
-122.2949827,47.68252011,25,Middle School,ECKSTEIN MIDDLE SCHOOL,3003 NE 75th St.,,Eckstein,8-Jun,Seattle,98115,(206) 252-5010,http://ecksteinms.seattleschools.org/,1280398.18,252381.31,Active,
-122.2586361,47.51482047,26,Elementary,EMERSON ELEM,9709 60th Ave. S,,Emerson,K-5,Seattle,98118,(206) 252-7100,http://emersones.seattleschools.org/,1288216.77,191052.8802,Active,
-122.3801912,47.5525732,27,Elementary,FAIRMOUNT PARK ELEM,3800 SW Findlay St.,,Fairmount Park,K-5,Seattle,98126,(206) 252-9300,http://fairmountparkes.seattleschools.org/,1258460.53,205401.0001,Active,
-122.2936464,47.57588767,28,High School,FRANKLIN HIGH SCHOOL,3013 S Mount Baker Blvd.,,Franklin,12-Sep,Seattle,98144,(206) 252-6150,http://franklinhs.seattleschools.org/,1279989.24,213486.2401,Active,
-122.3019047,47.60541951,29,High School,GARFIELD HIGH SCHOOL,400 23rd Ave.,,Garfield,12-Sep,Seattle,98122,(206) 252-2270,http://garfieldhs.seattleschools.org/,1278156.77,224295.25,Active,
-122.3884982,47.54025089,30,Elementary,GATEWOOD ELEM,4320 SW Myrtle St.,,Gatewood,K-5,Seattle,98136,(206) 252-9400,http://gatewoodes.seattleschools.org/,1256318.79,200948.51,Active,
-122.3968885,47.56549257,31,Elementary,GENESEE HILL BLDG,5012 SW Genesee St.,,Genesee Hill,K-5,Seattle,98116,(206) 252-9700,http://geneseehilles.seattleschools.org/,1254433.87,210195.8799,Active,
-122.2685342,47.54575731,32,Elementary,GRAHAM HILL ELEM,5149 S Graham St.,,Graham Hill,K-5,Seattle,98118,(206) 252-7140,http://grahamhilles.seattleschools.org/,1285981.62,202381.0501,Active,
-122.3284979,47.67630161,33,Elementary,GREENLAKE ELEM,2400 N 65th St.,,Green Lake,K-5,Seattle,98103,(206) 252-5320,http://greenlakees.seattleschools.org/,1272100.02,250272.0301,Active,
-122.3599603,47.68725389,34,Elementary,GREENWOOD ELEM,144 NW 80th St.,,Greenwood,K-5,Seattle,98117,(206) 252-1400,http://greenwoodes.seattleschools.org/,1264429.86,254418.4299,Active,
-122.3380275,47.65708003,35,Middle School,HAMILTON MIDDLE SCHOOL,1610 N 41st St.,,Hamilton Int'l,8-Jun,Seattle,98103,(206) 252-5810,http://hamiltonms.seattleschools.org/,1269615.71,243307.7501,Active,
-122.2833862,47.56590518,36,Elementary,HAWTHORNE ELEM,4100 39th Ave. S,,Hawthorne,K-5,Seattle,98118,(206) 252-7210,http://hawthornees.seattleschools.org/,1282452.7,209797.74,Active,
-122.3517166,47.63289848,37,Elementary,HAY ELEM,201 Garfield St.,,Hay,K-5,Seattle,98109,(206) 252-2100,http://hayes.seattleschools.org/,1266068.74,234555.1301,Active,
-122.3146583,47.71343023,38,Option Elementary,PINEHURST,11530 12th Ave. NE,,Hazel Wolf K-8,K-8,Seattle,98125,(206) 252-4610,http://hazelwolfk8.seattleschools.org/,1275769.48,263746.8601,Active,
-122.3482773,47.52517749,39,Elementary,HIGHLAND PARK ELEM,1012 SW Trenton St.,,Highland Park,K-5,Seattle,98106,(206) 252-8240,http://highlandparkes.seattleschools.org/,1266143.11,195253.1802,Active,
-122.3368381,47.72569939,40,High School,INGRAHAM HIGH SCHOOL,1819 N 135th St.,,Ingraham Int'l,12-Sep,Seattle,98133,(206) 252-3880,http://ingrahamhs.seattleschools.org/,1270397.76,268327.2699,Active,
-122.2871155,47.55817902,41,Service School,COLUMBIA BLDG/ORCA,3528 S Ferdinand St.,,Interagency at Columbia School,12-Sep,Seattle,98118,(206) 743-3930,http://interagency.seattleschools.org/,1281478.95,206997.3801,Active,
-122.293009,47.70994486,42,Middle School,JANE ADDAMS BUILDING,11051 34th Ave. NE,,Jane Addams,8-Jun,Seattle,98125,(206) 252-4500,http://addamsms.seattleschools.org/,1281073.98,262373.9101,Active,
-122.2905799,47.57324135,43,Elementary,JOHN MUIR ELEM,3301 S Horton St.,,John Muir,K-5,Seattle,98144,(206) 252-7400,http://muires.seattleschools.org/,1280727.74,212506.7798,Active,
-122.2846337,47.70742643,44,Elementary,JOHN ROGERS ELEM,4030 NE 109th St.,,John Rogers,K-5,Seattle,98125,(206) 252-4320,http://rogerses.seattleschools.org/,1283118.24,261416.4399,Active,
